product_name,description,category
Firlarm Gas Leak Detector YC-805,"The Firlarm Gas Leak Detector YC-805 is a smart home device designed to detect gas leaks in real-time, providing users with peace of mind and early warning systems for potential hazards. This device features advanced sensors that can detect various types of gases, including natural gas, propane, and butane.",Home > Safety > Gas Leak Detector
"Kidde Carbon Monoxide Detector, Propane, Natural, Methane, & Explosive Gas Alarm","A plug-in carbon monoxide detector that monitors for propane, natural gas, and explosive gases. Features a digital display, 85 dB alarm, LED status indicators, and a 9V battery backup.",Home > Safety > Carbon Monoxide Detectors
KOABBIT KH156 4-in-1 Plug-in Gas and Carbon Monoxide Detector,"A compact and easy-to-use plug-in gas and carbon monoxide detector that provides 24/7 protection for your home. This device detects multiple hazards, including gas leaks, carbon monoxide poisoning, and smoke, ensuring your safety and peace of mind. With its simple setup and user-friendly interface, you can enjoy a worry-free living experience.",Home > Safety > Gas Detectors
Smart Wifi Motion Sensor,"The BAZZ Smart Motion Sensor is a smart home device that alerts you when unexpected movement is detected. It features a 110-degree viewing angle and 4-6 meter range, sending real-time notifications to your smartphone or tablet. The motion sensor can trigger a siren alarm or smart lighting to ward off unwanted visitors, and also replace the light switch using your presence to turn on and off lighting when you enter and exit a room.",Home > Climate > Thermostat
Eve Motion Sensor,"A smart motion sensor that controls lights and appliances via movement, with IPX3 water resistance and a 120-degree field of view. It works across platforms without additional subscriptions and honors user privacy.",Home > Climate > Thermostat
Centralite Micro-Motion SEnsor,"Detects motion and triggers alerts or automation scenes, works seamlessly with Ezlo Plus hubs, the MiOS platform, MeshBots automation, and other compatible third-party Zigbee hubs.",Home > Climate > Thermostat
TOPTES PT199 Natural Gas Leak Detector,"The TOPTES PT199 is a natural gas leak detector designed to provide early warning of potential gas leaks in homes and businesses. This device uses advanced sensors to detect the presence of methane, propane, and other gases, alerting users to potential hazards. The PT199 features a compact design, easy-to-use interface, and long-lasting battery life, making it an ideal solution for smart home security and safety.",Home > Security > Gas Leak Detectors
Haozee Motion Sensor,A smart motion sensor designed for seamless integration with your home's climate control system.,Home > Climate > Thermostat
Caseta Motion Sensor,"The Caseta Motion Sensor is a smart home device that integrates seamlessly with the Philips Hue system. This sensor detects motion and can be set to trigger lights, cameras, or other smart devices in your home. With its sleek design and energy-efficient technology, it's perfect for adding an extra layer of security and convenience to your home.",Home > Lighting > Smart Lighting > Motion Sensors
Tuya Motion Sensor,Human Body Movement PIR Sensor Home Smart Security System Infrared Alarm Detector,"{'Home': {'Security': {'Thermostat': None, 'Motion Sensors': {'PIR Sensor': 'Tuya Motion Sensor'}}}}"
Tapo D210 TD21,"The Tapo D210 TD21 is a smart thermostat designed for seamless integration with your home's climate control system. With advanced features like Wi-Fi connectivity and voice assistant compatibility, this device allows you to effortlessly regulate the temperature in your home from anywhere using your smartphone or tablet.",Home > Climate > Thermostat
Orbitell M50,"The Orbitell M50 is a smart thermostat designed for seamless integration with your home's climate control system. With advanced features like geofencing and energy monitoring, this device helps you optimize your heating and cooling usage while ensuring maximum comfort. The Orbitell M50 supports up to 5 zones, allowing you to customize temperature settings for individual rooms or areas of your home. Its sleek design and user-friendly interface make it easy to install and operate, even for those without extensive technical expertise.",Home > Climate > Thermostat
Ring Doorbell (1st generation),"The Ring Doorbell is a smart doorbell that allows you to see, hear, and speak with visitors at your door from anywhere using your smartphone or tablet. It features motion detection, night vision, and weather resistance, making it a great addition to any home.",Home > Security > Doorbells
Arlo Video Doorbell (2nd generation),"The Arlo Video Doorbell is a smart doorbell with a built-in camera that allows you to see and speak with visitors at your door from anywhere using your smartphone or tablet. It features 1080p HD video, night vision, motion detection, and weather resistance. The device also includes a loud, clear speaker for two-way communication and an LED light that flashes when motion is detected.",Home > Security > Doorbells
WISDOM VIEW WV-001 Smart Video Doorbell,"The WISDOM VIEW WV-001 Smart Video Doorbell is a cutting-edge security solution that allows you to monitor your home remotely and receive alerts when someone is at the door. With its high-definition camera, motion detection, and night vision capabilities, this smart doorbell provides peace of mind for homeowners. The WV-001 also features Wi-Fi connectivity, allowing it to seamlessly integrate with your smartphone or tablet via the WISDOM VIEW app.",Home > Security > Doorbells
KASA KD110 Smart Doorbell,"Kasa Smart Video Doorbell Camera Hardwired w/Chime, 2K Resolution, Always-on Power, Night Vision, 2-Way Audio, Real-Time Notification, Cloud & SD Card Storage, Works w/Alexa & Google Home (KD110)",Home > Security > Doorbells
Live Fine Automatic Pill Dispenser,"A smart pill dispenser that automatically dispenses medication at set times, ensuring timely and consistent dosing for individuals with chronic conditions.",Health > Home Care > Medication Management
COLORWING Smart Pill Dispenser,"The COLORWING Smart Pill Dispenser is a cutting-edge medication management system designed to help individuals with chronic conditions manage their medication regimen. This smart pill dispenser features a user-friendly interface, allowing users to track their medication intake and receive reminders. With its advanced sensors and Wi-Fi connectivity, the COLORWING Smart Pill Dispenser can monitor medication levels and send notifications to caregivers or family members when medication is running low.",Home > Health & Household > Medical Supplies > Medication Management
KLIM Smart Pill Dispenser with Alarm,"The KLIM Smart Pill Dispenser with Alarm is a smart home device designed to help individuals with medication adherence. It features a user-friendly interface, alarm functionality, and integration with popular health apps.",Home > Health & Wellness > Medication Management
Windtrace Automatic Pill Dispenser A-1281D,"The Windtrace Automatic Pill Dispenser A-1281D is a smart pill dispenser designed to help individuals with medication adherence. This device can be controlled via the Windtrace app, allowing users to schedule and track their medication doses. The dispenser features a large capacity of 100 pills, a compact design, and a user-friendly interface.",Home > Health & Household > Medication Management
Stechro Smart Water Leak Detector,"The Stechro Smart Water Leak Detector is a cutting-edge device that alerts you to potential water leaks in your home, ensuring timely repairs and minimizing damage. With its advanced sensors and Wi-Fi connectivity, this smart leak detector provides peace of mind for homeowners. The device can be easily integrated into your existing plumbing system and can detect even the slightest changes in water flow. It also comes with a mobile app that allows you to monitor the device remotely and receive notifications on your smartphone or tablet.",Home > Smart Home Devices > Water Management
GoveeLife Water Leak Detector 2,"The GoveeLife Premium Smart Water Leak Detector 2 is a wireless water sensor that detects leaks and sends alerts to your smartphone via WiFi, SMS, email, or app push. It features an ultra-long range of 1968ft and a 5-year battery life, making it suitable for home, basement, kitchen, and other areas where water leaks are common. The device includes a sound alarm to alert you in case of a leak, ensuring your safety and minimizing damage. With its easy setup and convenient features, this smart water leak detector is an excellent addition to any smart home.",Home > Smart Home Security > Water Leak Detectors
Geevon 2 Pack Water Leak Detectors,"100dB Water Sensor Alarms Flood Detector for Basements, Bathrooms, Laundry Rooms, Kitchens, Garages, and Attics, Water Alarms Battery-Operated (Battery Included)",Home > Security > Water Leak Detectors
YoLink Water Leak Starter Kit,"A smart water sensor starter kit that allows for seamless integration with the YoLink app, enabling users to monitor and control their home's water usage remotely.",Home > Climate > Thermostat
X-Sense Wi-Fi Water Leak Detector Kit,"The X-Sense Wi-Fi Water Leak Detector Kit is a smart water sensor alarm that detects leaks and sends alerts to your smartphone via the X-Sense app. The kit includes 4 water sensors and 1 base station, making it easy to monitor multiple areas of your home. With its ultra-slim design, this device is perfect for installation in basements or other hard-to-reach areas.",Home > Climate > Thermostat
Moen Flo,"The Moen Flo is a smart thermostat that allows for seamless integration with your home's climate control system. With its advanced features and user-friendly interface, this product provides optimal temperature control and energy efficiency. The Moen Flo can be controlled remotely through the Moen app, allowing you to adjust the temperature from anywhere in the house. It also comes equipped with a built-in humidistat, which automatically adjusts the temperature based on the humidity levels in your home. Additionally, the Moen Flo features a sleek and modern design that complements any home decor.",Home > Climate > Thermostat
MCGOR Motion Sensor Cabinet Light,"A smart lighting system that automatically turns on and off based on motion detection, perfect for illuminating cabinets in your home.",Home > Lighting > Smart Lighting
Electight Motion Sensor Smart Lights,"The Electight Motion Sensor Smart Lights are a cutting-edge smart lighting solution designed to provide unparalleled convenience and energy efficiency for your home. Equipped with advanced motion sensors, these lights can detect movement and adjust their brightness accordingly, ensuring that you always have the perfect amount of light when you need it. With their sleek and modern design, these lights are not only functional but also a stylish addition to any room. The Electight Motion Sensor Smart Lights are compatible with Amazon Alexa and Google Assistant, allowing you to control them with just your voice. Additionally, they can be controlled remotely through the Electight app, giving you complete flexibility and convenience.",Home > Lighting > Smart Lighting
Rihvy Under Cabinet Lights,Under-cabinet lighting system for enhanced kitchen ambiance and task illumination.,Home > Kitchen > Lighting
esenlite Flush Mount Ceiling Light Motion Activated,"A sleek and modern ceiling light that automatically turns on when you enter the room, providing warm and cozy ambiance.",Home > Lighting > Ceiling Lights
